Date,Customer_ID,Product_Category,Sales_Amount,Quantity_Sold,Discount_Applied,Market_Segment,Employee_ID,Store_Location
2023-01-01,CUST001,Electronics,2500,5,0.1,Enterprise,EMP123,New York
2023-01-01,CUST002,Furniture,1800,2,0.05,SMB,EMP124,Los Angeles
2023-01-02,CUST003,Office_Supplies,450,15,0.15,Consumer,EMP125,Chicago
2023-01-02,CUST001,Electronics,3200,8,0.12,Enterprise,EMP123,New York
2023-01-03,CUST004,Furniture,2200,3,0.08,SMB,EMP126,Houston
2023-01-03,CUST005,Office_Supplies,320,12,0.2,Consumer,EMP127,Phoenix
2023-01-04,CUST002,Electronics,2800,6,0.1,SMB,EMP124,Los Angeles
2023-01-04,CUST006,Furniture,1950,2,0.07,Enterprise,EMP128,Philadelphia
2023-01-05,CUST003,Office_Supplies,580,18,0.18,Consumer,EMP125,Chicago
2023-01-05,CUST007,Electronics,4100,10,0.15,Enterprise,EMP129,San Antonio
2023-01-06,CUST008,Furniture,2650,4,0.09,SMB,EMP130,San Diego
2023-01-06,CUST001,Office_Supplies,380,14,0.16,Enterprise,EMP123,New York
2023-01-07,CUST004,Electronics,3500,7,0.11,SMB,EMP126,Houston
2023-01-07,CUST009,Furniture,1750,2,0.06,Consumer,EMP131,Dallas
2023-01-08,CUST005,Office_Supplies,420,16,0.19,Consumer,EMP127,Phoenix
2023-01-08,CUST010,Electronics,2900,6,0.13,SMB,EMP132,San Jose
2023-01-09,CUST002,Furniture,2100,3,0.08,SMB,EMP124,Los Angeles
2023-01-09,CUST006,Office_Supplies,510,19,0.17,Enterprise,EMP128,Philadelphia
2023-01-10,CUST007,Electronics,3800,9,0.14,Enterprise,EMP129,San Antonio
2023-01-10,CUST011,Furniture,1850,2,0.05,Consumer,EMP133,Austin
2023-01-11,CUST008,Office_Supplies,340,13,0.2,SMB,EMP130,San Diego
2023-01-11,CUST003,Electronics,3100,7,0.12,Consumer,EMP125,Chicago
2023-01-12,CUST012,Furniture,2300,3,0.09,SMB,EMP134,Jacksonville
2023-01-12,CUST001,Office_Supplies,460,17,0.16,Enterprise,EMP123,New York
2023-01-13,CUST004,Electronics,2700,5,0.1,SMB,EMP126,Houston
2023-01-13,CUST013,Furniture,1900,2,0.07,Consumer,EMP135,Fort Worth
2023-01-14,CUST009,Office_Supplies,390,15,0.18,Consumer,EMP131,Dallas
2023-01-14,CUST005,Electronics,3600,8,0.13,Consumer,EMP127,Phoenix
2023-01-15,CUST014,Furniture,2450,4,0.08,SMB,EMP136,Columbus
