Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Amount,Payment_Method,Discount_Applied,Sales_Rep
T001,2023-01-01,C120,P001,1,89.99,89.99,Credit Card,0.00,John Smith
T002,2023-01-01,C121,P002,2,24.99,49.98,PayPal,5.00,Sarah Johnson
T003,2023-01-01,C122,P003,1,34.99,34.99,Cash,0.00,Mike Wilson
T004,2023-01-02,C123,P004,3,19.99,59.97,Credit Card,10.00,Lisa Brown
T005,2023-01-02,C124,P005,1,59.99,59.99,Debit Card,0.00,John Smith
T006,2023-01-02,C125,P006,2,12.99,25.98,Credit Card,2.50,Sarah Johnson
T007,2023-01-03,C126,P007,1,129.99,129.99,PayPal,0.00,Mike Wilson
T008,2023-01-03,C127,P008,1,79.99,79.99,Credit Card,15.00,Lisa Brown
T009,2023-01-03,C128,P009,2,22.99,45.98,Cash,0.00,John Smith
T010,2023-01-04,C129,P010,1,39.99,39.99,Credit Card,5.00,Sarah Johnson
T011,2023-01-04,C130,P011,3,29.99,89.97,Debit Card,12.00,Mike Wilson
T012,2023-01-04,C131,P012,1,45.99,45.99,PayPal,0.00,Lisa Brown
T013,2023-01-05,C132,P013,4,14.99,59.96,Credit Card,8.00,John Smith
T014,2023-01-05,C133,P014,1,49.99,49.99,Credit Card,7.50,Sarah Johnson
T015,2023-01-05,C134,P015,2,28.99,57.98,Cash,0.00,Mike Wilson
T016,2023-01-06,C135,P001,2,89.99,179.98,Credit Card,20.00,Lisa Brown
T017,2023-01-06,C136,P002,1,24.99,24.99,PayPal,0.00,John Smith
T018,2023-01-06,C137,P003,3,34.99,104.97,Debit Card,15.00,Sarah Johnson
T019,2023-01-07,C138,P004,2,19.99,39.98,Credit Card,5.00,Mike Wilson
T020,2023-01-07,C139,P005,1,59.99,59.99,Cash,0.00,Lisa Brown
